PAPEL,COTACAO,P/L,P/VP,PSR,DIV_YIELD,P/ATIVO,P/CAP_GIRO,P/EBIT,P/ATIV_CIRC_LIQ,EV/EBIT,EV/EBITDA,MRG_EBIT,MRG_LIQ,LIQ_CORR,ROIC,ROE,LIQ_2MESES,PATRIM_LIQ,DIV_BRUT/PATRIM,CRESC_REC_5A
BRAP4,"33,58","2,42","0,91",0,"31,77%",905,"5,17","-478,70","5,17","-386,04","-386,04","0,00%","0,00%","65,33","-0,23%","37,43%","142.135.000,00","14.547.000.000,00","0,00","0,00%"
BRKM3,"43,21","2,46","4,38",326,"17,45%",372,"2,44","1,27","-0,73","2,11","1,83","25,74%","13,22%","1,56","39,78%","177,79%","723.149,00","7.865.820.000,00","4,45","16,59%"
GGBR3,"22,32","2,48","0,90",490,"14,07%",520,"2,06","2,05","23,38","2,44","2,15","23,88%","19,86%","2,33","31,71%","36,37%","1.398.040,00","42.604.300.000,00","0,33","15,64%"
USIM6,"18,00","2,49","1,04",669,"7,92%",571,"1,65","2,21","4,63","2,14","1,95","30,24%","29,82%","3,16","34,20%","41,70%","172,83","21.749.300.000,00","0,29","27,74%"
EUCA4,"8,77","2,53","0,46",358,"5,37%",258,"1,89","1,96","-5,89","2,87","2,08","18,29%","14,89%","1,54","14,81%","18,00%","442.595,00","1.783.070.000,00","0,27","17,50%"
BRKM5,"45,74","2,61","4,64",345,"16,48%",394,"2,59","1,34","-0,77","2,18","1,89","25,74%","13,22%","1,56","39,78%","177,79%","169.867.000,00","7.865.820.000,00","4,45","16,59%"
CSNA3,"23,90","2,71","1,63",692,"8,84%",418,"3,18","1,73","-1,58","2,43","2,17","39,90%","28,38%","1,43","35,64%","60,34%","319.285.000,00","20.315.000.000,00","1,60","24,23%"
FHER3,"14,95","2,83","8,90",234,"0,00%",329,"1,47","1,62","-1,02","2,62","2,48","14,40%","8,25%","1,54","23,32%","314,38%","20.697.000,00","90.470.000,00","5,60","-13,97%"
BOBR4,"1,42","2,93","-3,22",334,"0,00%",419,"-1,46","12,41","-0,57","22,03","12,52","2,69%","11,43%","0,58","4,65%","-110,11%","60.033,00","-114.831.000,00","-2,75","0,61%"
PEAB3,"62,00","2,93","0,97","31,611","18,22%",869,"1,62","-36,92","1,95","-16,02","-20,18","-85,62%","1.079,51%","40,28","-4,89%","33,18%","3.239,68","819.966.000,00","0,03","-48,79%"
CPLE3,"6,35","3,07","0,81",760,"18,75%",349,"7,93","4,45","-1,09","5,89","4,65","17,07%","25,25%","1,22","9,27%","26,26%","7.284.540,00","21.564.100.000,00","0,49","12,70%"
GGBR4,"28,16","3,13","1,14",618,"11,15%",656,"2,60","2,59","29,50","2,98","2,62","23,88%","19,86%","2,33","31,71%","36,37%","364.957.000,00","42.604.300.000,00","0,33","15,64%"
DOHL4,"5,77","3,21","0,62",636,"3,55%",473,"1,13","4,53","1,59","4,50","3,92","14,04%","19,80%","4,53","11,35%","19,35%","30.592,50","702.237.000,00","0,07","8,84%"
CTKA3,"27,50","3,22","-1,16",342,"0,00%",286,"0,86","3,52","-0,52","13,95","11,08","9,73%","10,63%","1,92","9,92%","-36,01%","212,93","-147.222.000,00","-3,71","11,99%"
MRFG3,"20,49","3,26","3,62",166,"14,16%",295,"5,74","1,09","-0,62","2,83","2,53","15,20%","7,78%","1,14","36,28%","110,85%","137.222.000,00","3.916.920.000,00","7,91","47,27%"
CPLE11,"35,32","3,41","0,90",845,"0,00%",388,"8,82","4,95","-1,22","6,39","5,04","17,07%","25,25%","1,22","9,27%","26,26%","15.554.000,00","21.564.100.000,00","0,49","12,70%"
PLPL3,"2,65","3,44","1,65",434,"7,39%",459,"0,59","1,56","2,30","1,85","1,77","27,77%","12,59%","6,40","39,05%","47,90%","2.444.440,00","328.039.000,00","0,98","0,00%"
POSI3,"7,46","3,45","0,89",337,"4,57%",319,"1,02","4,26","1,83","5,65","4,81","7,91%","9,89%","1,63","12,61%","25,86%","26.384.200,00","1.187.040.000,00","0,62","12,12%"
CESP6,"22,10","3,47","0,97","3,359","9,82%",498,"25,06","6,11","-1,21","7,40","5,51","54,97%","96,93%","1,37","8,49%","27,90%","50.986.400,00","7.485.270.000,00","0,26","10,03%"
ESPA3,"3,90","3,47","1,38","1,263","3,65%",435,"5,55","4,53","-1,64","7,48","5,62","27,88%","37,36%","1,23","11,08%","39,75%","17.071.400,00","691.061.000,00","1,29","0,00%"
CPLE6,"7,19","3,47","0,91",860,"18,21%",395,"8,98","5,04","-1,24","6,47","5,11","17,07%","25,25%","1,22","9,27%","26,26%","80.622.500,00","21.564.100.000,00","0,49","12,70%"
ETER3,"15,16","3,48","1,66",834,"1,59%",925,"1,76","3,12","3,21","2,52","2,39","26,72%","23,99%","3,54","40,39%","47,83%","35.289.000,00","563.245.000,00","0,07","13,74%"
CESP3,"22,23","3,49","0,97","3,379","13,23%",501,"25,21","6,15","-1,22","7,44","5,53","54,97%","96,93%","1,37","8,49%","27,90%","91.909,90","7.485.270.000,00","0,26","10,03%"
PEAB4,"74,00","3,50","1,16","37,730","16,79%","1,038","1,93","-44,06","2,33","-23,16","-29,19","-85,62%","1.079,51%","40,28","-4,89%","33,18%","5.696,63","819.966.000,00","0,03","-48,79%"
ALLD3,"12,79","3,51","0,78",208,"5,89%",287,"1,25","3,25","3,12","3,09","2,62","6,40%","5,93%","1,47","19,42%","22,32%","1.538.940,00","1.523.640.000,00","0,27","0,00%"
TKNO4,"70,00","3,51","0,86",710,"5,11%",599,"1,64","4,44","1,83","4,64","4,22","15,99%","20,22%","2,37","16,14%","24,46%","889,32","240.202.000,00","0,14","22,88%"
CESP5,"22,50","3,53","0,98","3,420","3,43%",507,"25,52","6,22","-1,23","7,51","5,59","54,97%","96,93%","1,37","8,49%","27,90%","8.712,93","7.485.270.000,00","0,26","10,03%"
MYPK3,"12,34","3,53","0,47",139,"11,38%",131,"1,13","1,97","-0,58","6,58","4,16","7,04%","4,58%","1,33","8,63%","13,29%","22.508.800,00","4.041.740.000,00","1,37","11,78%"
PTNT4,"5,35","3,61","0,75",327,"3,79%",332,"1,38","4,34","6,02","6,47","4,36","7,53%","10,20%","1,87","9,57%","20,87%","96.971,00","341.078.000,00","0,56","11,57%"
JHSF3,"5,36","3,67","0,82","1,832","10,36%",437,"3,07","3,24","-2,02","4,21","4,01","56,55%","48,88%","2,42","15,07%","22,48%","31.716.600,00","4.464.560.000,00","0,44","54,34%"
EUCA3,"12,90","3,72","0,67",527,"3,32%",380,"2,78","2,88","-8,66","3,79","2,75","18,29%","14,89%","1,54","14,81%","18,00%","46.979,10","1.783.070.000,00","0,27","17,50%"
CTSA4,"1,14","3,73","0,40",210,"0,00%",182,"6,91","4,72","-1,32","11,82","8,09","4,44%","5,61%","1,07","4,57%","10,61%","282.061,00","320.486.000,00","0,66","8,24%"
VALE3,"91,13","3,76","2,37","1,552","16,20%",913,"11,39","2,62","-2,57","2,68","2,45","59,16%","41,34%","1,47","42,02%","63,01%","2.756.730.000,00","192.403.000.000,00","0,40","27,49%"
PETR4,"30,83","3,77","1,04",888,"18,33%",413,"12,06","2,11","-0,97","3,51","2,57","42,08%","23,70%","1,25","21,64%","27,54%","2.432.040.000,00","387.329.000.000,00","0,85","7,07%"
DMMO3,"1,00","3,79","-0,74","3,216","0,00%","2,342","-4,24","9,41","-0,62","9,14","6,25","34,17%","84,95%","0,41","38,44%","-19,49%","18.940.500,00","-690.833.000,00","-0,00","-19,02%"
DEXP4,"7,98","3,81","1,64",502,"0,00%",630,"2,49","4,21","174,47","5,06","4,42","11,93%","15,56%","1,88","17,46%","43,15%","24.798,00","456.531.000,00","0,46","31,29%"
CGRA3,"37,00","3,86","0,93","1,225","3,71%",697,"2,01","6,51","2,73","5,77","5,08","18,82%","31,72%","3,17","12,96%","24,08%","59.202,30","768.149.000,00","0,00","7,31%"
BNBR3,"72,47","3,87","0,84",0,"6,60%",0,"0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","21,64%","3.412,83","7.479.030.000,00","0,00","18,84%"
CGRA4,"37,71","3,94","0,95","1,249","3,64%",711,"2,05","6,63","2,78","5,89","5,19","18,82%","31,72%","3,17","12,96%","24,08%","245.703,00","768.149.000,00","0,00","7,31%"
CLSC3,"58,01","3,97","0,85",197,"7,41%",187,"4,63","3,15","-0,40","4,81","3,57","6,27%","4,97%","1,15","7,09%","21,48%","14.379,90","2.621.370.000,00","0,77","11,45%"
HBOR3,"3,23","4,08","0,32",430,"1,47%",102,"0,24","6,07","0,91","18,48","14,92","7,10%","16,88%","2,76","1,86%","7,92%","4.393.030,00","1.338.550.000,00","0,93","25,27%"
BGIP4,"22,39","4,09","0,61",0,"6,43%",0,"0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","14,92%","48.165,30","561.322.000,00","0,00","3,81%"
DEXP3,"8,65","4,13","1,78",544,"3,24%",683,"2,70","4,56","189,12","5,41","4,72","11,93%","15,56%","1,88","17,46%","43,15%","2.966.980,00","456.531.000,00","0,46","31,29%"
PETR3,"33,76","4,13","1,14",973,"16,74%",453,"13,21","2,31","-1,06","3,71","2,71","42,08%","23,70%","1,25","21,64%","27,54%","684.660.000,00","387.329.000.000,00","0,85","7,07%"
CEDO4,"5,00","4,19","0,36",55,"0,00%",64,"-1,05","0,84","-0,21","4,06","3,10","6,51%","0,97%","0,89","9,51%","8,60%","47.605,80","138.726.000,00","1,52","7,29%"
CLSC4,"61,98","4,25","0,91",211,"7,63%",200,"4,94","3,36","-0,43","5,02","3,73","6,27%","4,97%","1,15","7,09%","21,48%","404.167,00","2.621.370.000,00","0,77","11,45%"
TASA3,"23,30","4,33","3,63","1,004","0,00%","1,314","8,19","3,16","23,04","3,66","3,54","31,77%","23,17%","1,30","51,41%","83,89%","600.331,00","757.047.000,00","0,92","38,29%"
LIGT3,"8,98","4,41","0,38",221,"4,91%",123,"0,76","1,79","-0,34","5,63","4,19","12,36%","5,02%","2,05","8,53%","8,68%","24.055.200,00","8.749.760.000,00","1,22","7,58%"
TASA4,"23,71","4,41","3,70","1,022","0,00%","1,337","8,33","3,22","23,45","3,72","3,60","31,77%","23,17%","1,30","51,41%","83,89%","20.594.900,00","757.047.000,00","0,92","38,29%"
RAPT3,"9,40","4,44","1,23",342,"7,21%",289,"1,19","2,57","-3,49","4,08","3,43","13,30%","9,77%","1,66","16,25%","27,69%","124.663,00","2.520.220.000,00","1,60","28,17%"
CEAB3,"4,85","4,54","0,50",290,"0,00%",172,"0,99","-12,87","-0,86","-15,66","13,95","-2,26%","6,38%","1,63","-1,87%","10,99%","15.529.900,00","2.995.010.000,00","0,46","-2,62%"
ROMI3,"12,69","4,57","0,97",673,"6,91%",476,"1,58","4,49","5,33","6,46","5,36","14,98%","14,76%","2,02","12,56%","21,15%","10.720.200,00","963.288.000,00","0,60","18,66%"
BRSR6,"10,66","4,60","0,48",0,"9,95%",0,"0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","10,49%","23.672.200,00","9.046.220.000,00","0,00","7,31%"
RAPT4,"9,81","4,63","1,28",357,"6,91%",301,"1,24","2,68","-3,64","4,19","3,53","13,30%","9,77%","1,66","16,25%","27,69%","31.560.500,00","2.520.220.000,00","1,60","28,17%"
EPAR3,"16,60","4,67","3,43",282,"0,00%","1,115","4,04","4,46","328,49","4,61","4,14","6,32%","6,03%","1,69","36,90%","73,44%","40.888,70","71.941.000,00","0,56","51,02%"
MNPR3,"5,67","4,68","-0,11",132,"0,00%",157,"-0,10","0,93","-0,08","0,94","0,81","14,21%","2,83%","0,23","17,69%","-2,39%","42.689,50","-360.965.000,00","-0,00","11,54%"
UNIP3,"99,89","4,75","4,12","1,500","14,06%","1,510","9,01","4,30","-8,70","4,23","3,84","34,92%","31,86%","1,58","51,87%","86,72%","2.606.630,00","2.288.740.000,00","0,64","17,07%"
AGRO3,"32,09","4,76","1,34","1,724","8,17%",905,"2,75","4,07","5,43","3,93","3,46","42,32%","36,22%","3,04","31,83%","28,15%","25.057.100,00","2.451.480.000,00","0,32","50,87%"
JBSS3,"36,39","4,79","1,86",262,"8,77%",441,"3,14","3,22","-1,30","5,45","4,12","8,14%","5,47%","1,53","18,61%","38,74%","392.252.000,00","46.554.500.000,00","1,81","19,36%"
NEOE3,"15,54","4,81","0,79",437,"2,82%",220,"10,25","2,13","-0,47","5,85","4,77","20,55%","9,42%","1,09","11,88%","16,43%","15.808.400,00","23.886.000.000,00","1,62","18,49%"
UNIP5,"102,99","4,90","4,25","1,546","15,00%","1,557","9,29","4,43","-8,97","4,36","3,97","34,92%","31,86%","1,58","51,87%","86,72%","22.046,20","2.288.740.000,00","0,64","17,07%"
BBAS3,"33,48","4,90","0,71",0,"8,11%",0,"0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","14,58%","524.748.000,00","134.226.000.000,00","0,00","4,66%"
SAPR3,"3,82","4,90","0,74","1,109","5,29%",394,"8,56","2,73","-1,22","4,21","3,55","40,65%","22,63%","1,48","15,80%","15,05%","1.478.120,00","7.826.340.000,00","0,53","7,63%"
CMIN3,"5,67","4,98","2,26","1,665","8,25%","1,175","5,06","3,29","-162,58","2,64","2,45","50,68%","33,46%","1,96","64,73%","45,51%","49.852.200,00","13.998.300.000,00","0,34","28,92%"
UNIP6,"104,76","4,98","4,32","1,573","14,74%","1,583","9,45","4,50","-9,13","4,44","4,03","34,92%","31,86%","1,58","51,87%","86,72%","43.380.200,00","2.288.740.000,00","0,64","17,07%"
SAPR11,"19,81","5,08","0,77","1,150","5,51%",409,"8,88","2,83","-1,26","4,31","3,64","40,65%","22,63%","1,48","15,80%","15,05%","29.575.500,00","7.826.340.000,00","0,53","7,63%"
SAPR4,"3,97","5,09","0,77","1,153","5,60%",410,"8,90","2,84","-1,27","4,32","3,64","40,65%","22,63%","1,48","15,80%","15,05%","12.084.900,00","7.826.340.000,00","0,53","7,63%"
EALT4,"6,69","5,10","0,77",445,"18,87%",313,"4,16","4,38","-2,18","7,05","5,25","10,17%","8,72%","1,20","8,05%","15,17%","190.576,00","194.506.000,00","0,61","19,01%"
PATI4,"63,00","5,14","1,76",565,"2,87%",757,"1,26","4,32","2,58","4,75","4,62","13,07%","10,99%","3,26","31,60%","34,34%","3.275,17","854.351.000,00","0,88","30,64%"
CRPG6,"48,99","5,14","1,62","1,484","10,24%","1,186","2,60","4,96","3,31","4,36","3,89","29,91%","28,87%","3,67","31,00%","31,54%","19.140,90","876.884.000,00","0,00","12,58%"
BRSR3,"11,97","5,16","0,54",0,"8,86%",0,"0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","10,49%","77.405,30","9.046.220.000,00","0,00","7,31%"
CRPG5,"49,40","5,18","1,63","1,496","10,15%","1,196","2,62","5,00","3,34","4,40","3,93","29,91%","28,87%","3,67","31,00%","31,54%","571.708,00","876.884.000,00","0,00","12,58%"
CMIG4,"12,73","5,23","1,06",699,"9,24%",406,"7,80","4,21","-1,10","5,81","4,85","16,58%","13,36%","1,26","10,98%","20,34%","99.424.700,00","20.262.200.000,00","0,56","9,89%"
ENGI4,"7,15","5,33","1,48",507,"11,05%",251,"4,25","2,88","-0,47","6,57","5,14","17,58%","10,46%","1,28","10,12%","27,84%","180.852,00","8.748.260.000,00","2,40","16,79%"
CEPE6,"27,00","5,36","1,10",237,"10,09%",155,"3,71","1,81","-0,29","7,22","5,49","13,09%","4,42%","1,15","9,85%","20,52%","5.094,83","1.832.000.000,00","3,66","12,05%"
CSRN3,"17,00","5,36","1,89",790,"12,03%",550,"-25,51","3,93","-1,29","6,64","5,62","20,11%","14,74%","0,93","15,45%","35,23%","23.325,70","1.513.000.000,00","1,42","12,57%"
CSRN5,"17,00","5,36","1,89",790,"13,24%",550,"-25,51","3,93","-1,29","6,64","5,62","20,11%","14,74%","0,93","15,45%","35,23%","333,05","1.513.000.000,00","1,42","12,57%"
RANI3,"5,96","5,36","1,60",953,"6,32%",647,"2,49","3,46","-3,41","4,33","3,58","27,54%","17,77%","2,78","25,64%","29,80%","7.793.080,00","957.438.000,00","0,93","14,45%"
TRPL4,"24,73","5,40","1,13","2,944","11,25%",562,"6,47","4,12","-1,56","5,72","5,69","71,42%","54,89%","3,05","14,22%","20,96%","38.597.800,00","14.399.200.000,00","0,52","17,16%"
BGIP3,"30,03","5,48","0,82",0,"4,36%",0,"0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","14,92%","2.803,54","561.322.000,00","0,00","3,81%"
LAVV3,"4,69","5,49","0,83","1,603","14,94%",558,"1,25","5,69","1,53","2,98","2,97","28,19%","33,53%","3,17","13,51%","15,09%","4.632.960,00","1.178.130.000,00","0,00","77,31%"
CEEB3,"34,99","5,49","1,48",643,"17,42%",376,"14,49","3,08","-0,73","6,69","5,45","20,84%","11,70%","1,13","13,25%","27,02%","18.771,30","6.176.000.000,00","1,85","14,14%"
VBBR3,"21,85","5,51","2,26",221,"9,27%",861,"2,79","8,09","-8,29","10,88","9,24","2,73%","4,01%","2,49","12,83%","40,93%","191.952.000,00","11.287.000.000,00","0,96","3,95%"
CEPE5,"28,00","5,56","1,14",246,"8,85%",161,"3,85","1,88","-0,30","7,29","5,55","13,09%","4,42%","1,15","9,85%","20,52%","5.874,37","1.832.000.000,00","3,66","12,05%"
POMO3,"2,18","5,63","0,71",590,"4,91%",310,"1,54","-49,58","-6,23","-73,55","47,98","-1,19%","10,24%","1,66","-0,85%","12,62%","594.161,00","2.905.000.000,00","0,80","2,39%"
LEVE3,"24,91","5,64","1,86",884,"3,71%","1,087","4,22","4,93","8,62","4,79","4,15","17,94%","15,67%","1,90","28,20%","33,06%","7.969.210,00","1.714.800.000,00","0,16","8,98%"
AFLT3,"9,15","5,78","2,33","4,797","6,89%","2,092","11,44","5,59","17,81","5,43","5,42","85,80%","82,95%","5,86","41,05%","40,32%","7.216,90","247.518.000,00","0,00","39,35%"
ENBR3,"21,54","5,80","1,12",663,"7,19%",375,"4,34","3,68","-1,12","6,00","4,90","18,02%","12,54%","1,41","11,84%","19,37%","72.254.500,00","11.151.400.000,00","0,95","9,68%"
MDNE3,"5,70","5,83","0,45",781,"0,00%",180,"0,86","5,48","-1,23","4,80","4,58","14,26%","13,71%","1,85","3,63%","7,72%","1.448.150,00","1.074.620.000,00","0,12","3,95%"
CEDO3,"7,00","5,86","0,50",77,"0,00%",90,"-1,47","1,18","-0,29","4,40","3,35","6,51%","0,97%","0,89","9,51%","8,60%","10.585,70","138.726.000,00","1,52","7,29%"
FESA4,"43,09","5,92","1,61","1,593","2,10%","1,120","4,10","4,54","10,13","4,30","3,62","35,10%","26,91%","2,95","31,25%","27,13%","20.670.100,00","2.369.220.000,00","0,17","18,49%"
PTBL3,"7,90","5,94","3,12",647,"13,05%",524,"4,25","3,83","-1,45","5,44","4,39","16,89%","10,89%","1,36","18,48%","52,51%","7.469.890,00","373.390.000,00","2,20","14,03%"
DXCO3,"13,60","6,00","1,81","1,267","8,56%",771,"8,02","6,64","-3,42","8,21","5,63","19,09%","21,12%","1,38","15,07%","30,09%","56.867.200,00","5.733.580.000,00","0,67","17,41%"
EMAE4,"40,50","6,03","1,85","3,009","4,59%",951,"3,64","8,33","-6,49","6,68","6,48","36,14%","49,92%","4,29","14,19%","30,76%","512.459,00","807.010.000,00","0,00","28,11%"
BMEB4,"10,61","6,03","0,99",0,"4,87%",0,"0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","16,41%","93.686,70","1.124.490.000,00","0,00","15,11%"
PATI3,"75,00","6,12","2,10",673,"2,41%",901,"1,50","5,15","3,07","5,57","5,42","13,07%","10,99%","3,26","31,60%","34,34%","2.368,59","854.351.000,00","0,88","30,64%"
BEES3,"4,93","6,22","0,82",0,"7,00%",0,"0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","13,26%","102.644,00","1.889.670.000,00","0,00","6,11%"
CYRE3,"14,97","6,25","0,97","1,321","7,26%",455,"1,16","7,72","8,23","9,26","8,74","17,11%","22,92%","3,41","7,23%","15,46%","116.298.000,00","6.198.680.000,00","0,55","14,98%"
POMO4,"2,42","6,25","0,79",655,"4,42%",344,"1,71","-55,03","-6,92","-79,01","51,54","-1,19%","10,24%","1,66","-0,85%","12,62%","17.332.400,00","2.905.000.000,00","0,80","2,39%"
CSRN6,"19,89","6,27","2,21",925,"11,31%",644,"-29,85","4,60","-1,51","7,31","6,18","20,11%","14,74%","0,93","15,45%","35,23%","574,93","1.513.000.000,00","1,42","12,57%"
CTSA3,"1,92","6,29","0,67",353,"0,00%",306,"11,65","7,95","-2,22","15,05","10,30","4,44%","5,61%","1,07","4,57%","10,61%","383.308,00","320.486.000,00","0,66","8,24%"
MRVE3,"10,63","6,38","0,84",722,"4,07%",254,"0,94","7,39","-1,22","13,55","11,43","9,77%","12,68%","2,40","3,75%","13,15%","75.133.000,00","6.119.510.000,00","0,86","10,62%"
GETT3,"1,63","6,39","0,92","1,066","0,00%",52,"2,11","4,68","2,24","6,82","4,39","22,78%","16,70%","1,03","1,14%","14,34%","578.805,00","3.320.020.000,00","1,05","22,95%"
GETT4,"1,63","6,39","0,92","1,066","0,00%",52,"2,11","4,68","2,24","6,82","4,39","22,78%","16,70%","1,03","1,14%","14,34%","611.596,00","3.320.020.000,00","1,05","22,95%"
CSAN3,"20,95","6,41","2,66","1,576","3,01%",401,"2,74","11,00","-0,94","20,18","12,44","14,33%","25,50%","2,11","4,55%","41,54%","170.420.000,00","14.740.900.000,00","3,32","30,04%"
ABCB4,"16,23","6,41","0,79",0,"5,64%",0,"0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","12,25%","14.366.000,00","4.669.460.000,00","0,00","-6,04%"
TAEE3,"13,74","6,41","2,12","4,090","10,93%",893,"19,78","5,32","-2,01","7,73","7,67","76,83%","63,76%","1,51","17,34%","33,12%","1.073.820,00","6.684.760.000,00","1,02","36,61%"
TAEE11,"41,35","6,43","2,13","4,103","10,89%",896,"19,84","5,34","-2,01","7,75","7,68","76,83%","63,76%","1,51","17,34%","33,12%","106.474.000,00","6.684.760.000,00","1,02","36,61%"
TAEE4,"13,79","6,44","2,13","4,105","10,89%",897,"19,85","5,34","-2,01","7,75","7,68","76,83%","63,76%","1,51","17,34%","33,12%","2.210.110,00","6.684.760.000,00","1,02","36,61%"
ENGI11,"43,41","6,47","1,80",615,"9,10%",305,"5,16","3,50","-0,57","7,18","5,63","17,58%","10,46%","1,28","10,12%","27,84%","85.084.400,00","8.748.260.000,00","2,40","16,79%"
MTSA4,"37,11","6,48","1,09",631,"6,09%",744,"1,51","4,78","1,60","4,70","4,19","13,19%","9,74%","2,67","19,64%","16,87%","83.124,80","310.469.000,00","0,18","21,18%"
WIZS3,"7,62","6,48","3,88","1,492","7,99%",561,"-5,10","3,34","-1,45","2,73","2,53","44,63%","25,20%","0,69","21,51%","59,94%","12.504.000,00","313.684.000,00","0,73","12,56%"
TRIS3,"4,22","6,53","0,64","1,017","5,71%",337,"0,70","5,22","1,57","6,91","6,85","19,49%","17,05%","3,51","7,91%","9,87%","8.360.710,00","1.221.100.000,00","0,53","17,35%"
TECN3,"2,35","6,57","0,56",587,"3,45%",287,"0,60","3,17","1,76","3,79","4,47","18,53%","8,93%","3,83","11,64%","8,53%","3.489.040,00","329.014.000,00","0,41","-3,73%"
CRIV3,"4,90","6,63","0,49",0,"0,51%",0,"0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","7,34%","7.417,95","1.036.690.000,00","0,00","-1,61%"
FESA3,"48,30","6,64","1,80","1,785","1,70%","1,256","4,60","5,09","11,36","4,85","4,09","35,10%","26,91%","2,95","31,25%","27,13%","21.520,80","2.369.220.000,00","0,17","18,49%"
BMGB4,"2,81","6,77","0,42",0,"11,23%",0,"0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","6,26%","2.760.570,00","3.862.850.000,00","0,00","4,86%"
BEES4,"5,40","6,81","0,90",0,"6,39%",0,"0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","13,26%","17.238,70","1.889.670.000,00","0,00","6,11%"
BRSR5,"15,81","6,82","0,71",0,"8,25%",0,"0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","10,49%","2.567,63","9.046.220.000,00","0,00","7,31%"
ENAT3,"20,33","6,82","1,56","4,140","0,95%",932,"2,64","14,77","9,75","10,65","3,82","28,03%","60,67%","3,47","11,35%","22,84%","34.601.100,00","3.467.240.000,00","0,26","30,68%"
ALUP11,"26,10","6,86","1,17","1,461","3,22%",297,"3,92","2,07","-0,68","4,27","4,12","70,70%","40,56%","1,80","15,69%","17,03%","19.243.200,00","6.551.240.000,00","1,54","43,78%"
ALUP3,"8,72","6,87","1,17","1,465","3,21%",298,"3,92","2,07","-0,68","4,28","4,12","70,70%","40,56%","1,80","15,69%","17,03%","85.740,00","6.551.240.000,00","1,54","43,78%"
MOVI3,"15,64","6,91","1,73","1,063","2,11%",261,"1,05","3,15","-0,61","7,04","5,72","33,69%","15,37%","2,44","15,47%","24,95%","45.496.800,00","3.284.470.000,00","4,50","22,34%"
ALUP4,"8,81","6,94","1,18","1,480","3,18%",301,"3,97","2,09","-0,68","4,30","4,14","70,70%","40,56%","1,80","15,69%","17,03%","105.195,00","6.551.240.000,00","1,54","43,78%"
LOGG3,"25,16","6,97","0,78","17,208","3,44%",498,"9,75","23,09","-2,46","32,61","32,37","74,53%","256,57%","1,52","2,27%","11,14%","12.540.000,00","3.311.570.000,00","0,38","11,77%"
CIEL3,"2,49","6,97","0,68","1,355","6,83%",69,"1,25","8,21","-4,11","3,86","2,40","16,50%","19,44%","1,07","7,76%","9,81%","95.833.300,00","9.890.590.000,00","0,41","-22,91%"
EKTR4,"29,75","7,01","1,78",678,"10,79%",540,"5,03","3,87","-1,50","6,80","5,67","17,53%","9,66%","1,47","15,96%","25,42%","7.545,95","3.234.000.000,00","1,55","8,88%"
CSMG3,"13,85","7,10","0,79",911,"5,38%",414,"6,75","4,16","-1,61","6,15","4,01","21,91%","12,83%","1,39","11,50%","11,15%","19.230.800,00","6.654.040.000,00","0,60","8,21%"
CRIV4,"5,27","7,13","0,52",0,"8,52%",0,"0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","7,34%","15.585,70","1.036.690.000,00","0,00","-1,61%"
ITSA4,"9,99","7,23","1,34","10,799","4,56%","1,026","22,36","64,82","-13,17","67,39","44,03","16,66%","162,68%","1,68","1,72%","18,52%","260.179.000,00","65.886.000.000,00","0,13","11,45%"
CMIG3,"17,73","7,28","1,48",973,"6,63%",565,"10,87","5,87","-1,53","7,47","6,23","16,58%","13,36%","1,26","10,98%","20,34%","6.155.510,00","20.262.200.000,00","0,56","9,89%"
