PAPEL,COTACAO,P/L,P/VP,PSR,DIV_YIELD,P/ATIVO,P/CAP_GIRO,P/EBIT,P/ATIV_CIRC_LIQ,EV/EBIT,EV/EBITDA,MRG_EBIT,MRG_LIQ,LIQ_CORR,ROIC,ROE,LIQ_2MESES,PATRIM_LIQ,DIV_BRUT/PATRIM,CRESC_REC_5A
LPSB3,"3,89","10,33","2,62","2,586","0,00%","1,307","5,80","10,77","-13,08","8,34","6,25","24,02%","33,43%","2,25","17,77%","25,32%","5.501.020,00","219.415.000,00","0,00","18,22%"
HAGA3,"8,86","10,50","-1,59","2,338","0,00%","1,667","4,66","22,97","-1,37","22,34","16,41","10,18%","22,26%","1,76","17,79%","-15,13%","349.969,00","-66.331.300,00","-0,49","13,98%"
DOHL3,"19,00","10,58","2,05","2,094","0,98%","1,556","3,72","14,92","5,25","14,88","12,95","14,04%","19,80%","4,53","11,35%","19,35%","463,44","702.237.000,00","0,07","8,84%"
SMTO3,"43,86","10,61","3,21","2,880","5,32%","1,078","6,12","8,47","-3,15","11,24","6,22","34,02%","27,14%","2,21","14,82%","30,21%","71.141.600,00","4.842.160.000,00","1,36","14,03%"
PARD3,"17,40","10,67","2,61","1,148","1,64%",987,"67,27","6,02","-3,37","6,19","4,71","19,05%","10,78%","1,05","20,69%","24,50%","6.516.470,00","871.671.000,00","0,37","14,64%"
VVEO3,"14,75","10,68","1,96",679,"0,00%",612,"1,71","9,92","-26,58","9,74","7,91","6,84%","6,35%","2,16","12,02%","18,37%","8.137.570,00","2.151.020.000,00","0,99","40,91%"
BTTL3,"20,19","10,68","7,92",546,"0,00%","1,535","19,75","9,55","-5,67","9,95","7,79","5,71%","5,11%","1,17","22,56%","74,12%","395.854,00","37.891.000,00","1,12","39,72%"
TIMS3,"13,19","10,80","1,27","1,768","3,28%",641,"6,67","9,77","-3,43","7,95","2,90","18,11%","16,38%","1,45","8,90%","11,78%","100.889.000,00","25.107.100.000,00","0,15","65,40%"
ATOM3,"3,16","10,88","4,18","2,347","9,49%","2,470","2,79","12,04","4,37","8,78","8,53","19,49%","21,57%","11,15","62,62%","38,38%","111.642,00","15.816.000,00","0,00","64,29%"
KLBN3,"5,85","10,88","5,73","1,994","2,42%",781,"3,95","6,08","-1,56","9,95","6,64","32,81%","20,66%","2,49","17,36%","52,61%","755.776,00","5.739.570.000,00","5,11","16,54%"
TTEN3,"9,52","10,94","2,11",882,"0,00%","1,071","3,09","14,47","3,94","13,58","12,52","6,09%","8,06%","1,83","15,65%","19,24%","8.384.730,00","2.236.240.000,00","0,36","71,55%"
ENGI3,"14,73","10,97","3,06","1,044","5,36%",517,"8,76","5,94","-0,96","9,62","7,54","17,58%","10,46%","1,28","10,12%","27,84%","114.403,00","8.748.260.000,00","2,40","16,79%"
TUPY3,"17,35","10,98","0,93",397,"2,49%",387,"1,09","4,47","139,91","6,23","3,82","8,89%","3,62%","2,54","12,32%","8,47%","12.995.500,00","2.690.750.000,00","0,77","11,20%"
LVTC3,"12,31","10,99","1,26",746,"0,00%",534,"2,66","2,98","28,40","2,84","1,87","25,04%","6,79%","1,51","21,30%","11,51%","3.394.300,00","629.470.000,00","0,00","48,54%"
OFSA3,"24,00","11,36","2,02","1,431","1,97%","1,086","2,67","8,99","7,25","10,53","8,83","15,91%","12,59%","2,97","14,98%","17,77%","224.637,00","641.445.000,00","0,60","14,80%"
ASAI3,"13,60","11,38","6,62",437,"0,81%",802,"143,11","5,68","-1,62","7,38","6,09","7,69%","3,84%","1,01","22,44%","58,21%","125.524.000,00","2.766.000.000,00","2,90","17,72%"
ENEV3,"12,15","11,38","1,82","3,342","0,00%",874,"7,96","12,06","-2,64","16,49","11,32","27,71%","29,37%","2,39","8,56%","15,98%","79.480.000,00","8.575.330.000,00","0,90","12,99%"
QUAL3,"15,42","11,50","2,62","2,095","13,43%",920,"-5,46","5,60","-3,35","6,90","4,81","37,44%","18,65%","0,69","24,49%","22,78%","57.194.300,00","1.671.410.000,00","1,30","0,43%"
